Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
2026-08-15,Alaves,Getafe,3,0,H,0,0,D,,18,6,8,2,16,13,5,3,4,3,0,1
2026-08-15,Sevilla,Vallecano,2,1,H,0,1,A,,13,6,4,3,18,18,1,2,4,4,1,0
2026-08-16,Santander,Villarreal,2,2,D,2,2,D,,17,12,3,7,14,14,6,10,2,4,0,0
2026-08-16,Espanol,Levante,3,0,H,2,0,H,,16,4,6,0,17,7,0,1,3,0,0,0
2026-08-17,La Coruna,Elche,1,1,D,1,0,H,,8,11,3,6,17,12,2,6,2,2,0,0
2026-08-19,Ath Madrid,Malaga,2,0,H,0,0,D,,15,5,6,1,17,11,6,1,2,3,0,0
2026-08-20,Vallecano,Alaves,1,1,D,0,0,D,,8,15,3,3,14,13,9,7,1,2,0,0
2026-08-21,Betis,Sociedad,1,0,H,0,0,D,,18,9,7,3,9,12,4,5,3,3,0,0
2026-08-22,Ath Bilbao,Sevilla,1,3,A,0,1,A,,18,7,8,4,11,16,10,3,2,5,1,0
2026-08-22,Valencia,Celta,0,0,D,0,0,D,,8,7,2,3,17,17,1,2,2,3,0,0
2026-08-22,Espanol,Real Madrid,1,2,A,1,1,D,,8,21,3,8,19,7,0,8,5,1,0,0
2026-08-23,Ath Madrid,Villarreal,2,2,D,0,0,D,,19,13,4,6,12,13,5,3,3,2,1,0
2026-08-23,Getafe,Santander,1,0,H,0,0,D,,12,6,1,3,14,17,8,6,1,3,0,0
2026-08-23,Elche,Barcelona,0,5,A,0,2,A,,7,11,2,7,13,12,3,1,1,0,0,0
2026-08-24,Osasuna,Levante,0,0,D,0,0,D,,12,11,7,1,9,12,9,4,2,1,0,0
2026-08-24,Malaga,La Coruna,1,1,D,1,1,D,,13,6,2,4,12,12,7,4,1,4,0,0
2026-08-25,Valencia,Betis,0,1,A,0,0,D,,16,15,3,3,10,11,8,2,2,1,0,0
2026-08-26,Real Madrid,Sociedad,4,1,H,1,1,D,,20,10,11,3,10,8,4,7,3,3,0,0
2026-08-27,Celta,Osasuna,1,2,A,1,0,H,,4,13,2,5,7,16,5,3,0,1,1,0
2026-08-27,Barcelona,Ath Bilbao,2,0,H,1,0,H,,22,5,10,0,13,6,12,5,1,2,0,0
