Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
2026-08-21,Arsenal,Coventry,3,0,H,2,0,H,T Bramall,20,4,6,1,10,13,8,2,1,1,0,0
2026-08-22,Hull,Man United,2,0,H,2,0,H,D England,8,21,4,5,10,9,1,6,2,1,0,0
2026-08-22,Everton,Crystal Palace,2,0,H,1,0,H,P Tierney,16,11,5,4,5,15,4,0,0,1,0,0
2026-08-22,Ipswich,Sunderland,2,1,H,1,1,D,F Hallam,10,11,3,4,12,14,3,5,0,3,0,0
2026-08-22,Nott'm Forest,Leeds,0,1,A,0,0,D,R Jones,12,11,2,3,15,14,3,2,2,1,0,0
2026-08-22,Brentford,Tottenham,3,0,H,2,0,H,M Oliver,26,9,8,4,17,14,7,3,1,1,0,0
2026-08-23,Brighton,Aston Villa,4,0,H,4,0,H,P Bankes,21,6,6,0,12,11,5,2,2,3,0,1
2026-08-23,Man City,Bournemouth,2,1,H,0,1,A,J Gillett,13,5,6,4,11,11,8,3,1,2,0,0
2026-08-23,Newcastle,Liverpool,2,2,D,1,0,H,S Attwell,13,27,4,7,16,15,2,6,5,3,0,0
2026-08-24,Fulham,Chelsea,2,3,A,1,2,A,J Brooks,14,18,6,6,12,7,6,4,2,3,0,0
