Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
2026-08-22,Inter,Monza,4,1,H,1,1,D,,13,7,5,3,5,14,3,3,2,2,0,0
2026-08-22,Udinese,Como,1,1,D,1,0,H,,17,20,3,6,13,11,1,10,3,0,0,0
2026-08-22,Genoa,Napoli,0,2,A,0,0,D,,11,13,2,4,10,8,5,5,2,1,0,0
2026-08-22,Parma,Cagliari,0,1,A,0,0,D,,13,14,2,5,6,20,3,2,0,2,0,0
2026-08-23,Frosinone,Juventus,0,1,A,0,1,A,,11,20,2,5,15,18,3,12,2,2,0,0
2026-08-23,Venezia,Lecce,0,2,A,0,0,D,,19,12,7,5,8,12,5,3,1,3,0,0
2026-08-23,Atalanta,Sassuolo,2,1,H,1,0,H,,14,22,7,8,9,10,4,4,0,0,0,0
2026-08-23,Torino,Milan,1,2,A,0,0,D,,8,19,1,4,10,9,2,4,0,1,0,0
2026-08-24,Bologna,Lazio,0,1,A,0,0,D,,14,10,5,3,18,19,8,6,4,4,0,0
2026-08-24,Roma,Fiorentina,4,0,H,1,0,H,,17,9,8,4,15,11,2,3,2,2,0,0
