Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
2003-08-08,Samsunspor,Besiktas,1,3,A,1,0,H,,,,,,,,,,,,,
2003-08-09,Bursaspor,Gaziantepspor,0,0,D,0,0,D,,,,,,,,,,,,,
2003-08-09,Galatasaray,Diyarbakirspor,2,1,H,0,1,A,,,,,,,,,,,,,
2003-08-09,Genclerbirligi,Elazigspor,2,3,A,1,2,A,,,,,,,,,,,,,
2003-08-09,Konyaspor,Trabzonspor,3,3,D,2,0,H,,,,,,,,,,,,,
2003-08-10,A. Sebatspor,Denizlispor,0,2,A,0,1,A,,,,,,,,,,,,,
2003-08-10,Adanaspor,Malatyaspor,0,1,A,0,0,D,,,,,,,,,,,,,
2003-08-10,Fenerbahce,Istanbulspor,0,3,A,0,2,A,,,,,,,,,,,,,
2003-08-10,Rizespor,Ankaragucu,2,1,H,1,1,D,,,,,,,,,,,,,
2003-08-15,Trabzonspor,Fenerbahce,0,1,A,0,1,A,,,,,,,,,,,,,
2003-08-16,Ankaragucu,Samsunspor,4,2,H,1,2,A,,,,,,,,,,,,,
2003-08-16,Besiktas,Bursaspor,1,0,H,1,0,H,,,,,,,,,,,,,
2003-08-16,Denizlispor,Rizespor,1,1,D,0,0,D,,,,,,,,,,,,,
2003-08-16,Istanbulspor,Adanaspor,1,0,H,1,0,H,,,,,,,,,,,,,
2003-08-17,Diyarbakirspor,Genclerbirligi,3,2,H,1,1,D,,,,,,,,,,,,,
2003-08-17,Elazigspor,Konyaspor,0,0,D,0,0,D,,,,,,,,,,,,,
2003-08-17,Gaziantepspor,Galatasaray,1,2,A,0,0,D,,,,,,,,,,,,,
2003-08-17,Malatyaspor,A. Sebatspor,3,1,H,1,0,H,,,,,,,,,,,,,
2003-08-23,A. Sebatspor,Istanbulspor,1,3,A,0,0,D,,,,,,,,,,,,,
2003-08-23,Adanaspor,Trabzonspor,0,1,A,0,0,D,,,,,,,,,,,,,
2003-08-23,Bursaspor,Galatasaray,2,2,D,1,0,H,,,,,,,,,,,,,
2003-08-23,Fenerbahce,Elazigspor,7,1,H,3,1,H,,,,,,,,,,,,,
2003-08-23,Rizespor,Malatyaspor,2,1,H,0,1,A,,,,,,,,,,,,,
2003-08-24,Besiktas,Ankaragucu,3,0,H,1,0,H,,,,,,,,,,,,,
2003-08-24,Genclerbirligi,Gaziantepspor,1,0,H,1,0,H,,,,,,,,,,,,,
2003-08-24,Konyaspor,Diyarbakirspor,3,1,H,1,1,D,,,,,,,,,,,,,
2003-08-24,Samsunspor,Denizlispor,2,1,H,1,0,H,,,,,,,,,,,,,
2003-08-29,Denizlispor,Besiktas,2,3,A,0,2,A,,,,,,,,,,,,,
2003-08-30,Diyarbakirspor,Fenerbahce,1,2,A,0,0,D,,,,,,,,,,,,,
2003-08-30,Elazigspor,Adanaspor,3,4,A,1,2,A,,,,,,,,,,,,,
2003-08-30,Gaziantepspor,Konyaspor,3,1,H,1,1,D,,,,,,,,,,,,,
2003-08-30,Malatyaspor,Samsunspor,5,0,H,3,0,H,,,,,,,,,,,,,
2003-08-31,Ankaragucu,Bursaspor,2,0,H,1,0,H,,,,,,,,,,,,,
2003-08-31,Galatasaray,Genclerbirligi,2,1,H,2,0,H,,,,,,,,,,,,,
2003-08-31,Istanbulspor,Rizespor,3,0,H,1,0,H,,,,,,,,,,,,,
2003-08-31,Trabzonspor,A. Sebatspor,2,1,H,1,0,H,,,,,,,,,,,,,
2003-09-12,Besiktas,Malatyaspor,3,1,H,1,1,D,,,,,,,,,,,,,
2003-09-13,Adanaspor,Diyarbakirspor,2,1,H,0,0,D,,,,,,,,,,,,,
2003-09-13,Konyaspor,Galatasaray,1,0,H,0,0,D,,,,,,,,,,,,,
2003-09-13,Rizespor,Trabzonspor,1,0,H,0,0,D,,,,,,,,,,,,,
2003-09-13,Samsunspor,Istanbulspor,3,3,D,1,2,A,,,,,,,,,,,,,
2003-09-14,A. Sebatspor,Elazigspor,3,1,H,1,1,D,,,,,,,,,,,,,
2003-09-14,Ankaragucu,Denizlispor,1,1,D,1,0,H,,,,,,,,,,,,,
2003-09-14,Bursaspor,Genclerbirligi,0,0,D,0,0,D,,,,,,,,,,,,,
2003-09-14,Fenerbahce,Gaziantepspor,3,1,H,0,0,D,,,,,,,,,,,,,
2003-09-19,Trabzonspor,Samsunspor,2,1,H,0,0,D,,,,,,,,,,,,,
2003-09-20,Gaziantepspor,Adanaspor,1,0,H,1,0,H,,,,,,,,,,,,,
2003-09-20,Genclerbirligi,Konyaspor,4,0,H,3,0,H,,,,,,,,,,,,,
2003-09-20,Istanbulspor,Besiktas,1,1,D,0,1,A,,,,,,,,,,,,,
2003-09-20,Malatyaspor,Ankaragucu,1,0,H,0,0,D,,,,,,,,,,,,,
2003-09-21,Denizlispor,Bursaspor,4,0,H,2,0,H,,,,,,,,,,,,,
2003-09-21,Diyarbakirspor,A. Sebatspor,1,0,H,1,0,H,,,,,,,,,,,,,
2003-09-21,Elazigspor,Rizespor,1,1,D,0,1,A,,,,,,,,,,,,,
2003-09-21,Galatasaray,Fenerbahce,2,2,D,1,1,D,,,,,,,,,,,,,
2003-09-26,Adanaspor,Galatasaray,0,2,A,0,2,A,,,,,,,,,,,,,
2003-09-27,Ankaragucu,Istanbulspor,2,1,H,0,1,A,,,,,,,,,,,,,
2003-09-27,Bursaspor,Konyaspor,2,1,H,0,0,D,,,,,,,,,,,,,
2003-09-27,Fenerbahce,Genclerbirligi,1,0,H,0,0,D,,,,,,,,,,,,,
2003-09-27,Samsunspor,Elazigspor,2,0,H,1,0,H,,,,,,,,,,,,,
2003-09-28,A. Sebatspor,Gaziantepspor,1,2,A,1,1,D,,,,,,,,,,,,,
2003-09-28,Besiktas,Trabzonspor,5,0,H,2,0,H,,,,,,,,,,,,,
2003-09-28,Denizlispor,Malatyaspor,1,0,H,0,0,D,,,,,,,,,,,,,
2003-09-28,Rizespor,Diyarbakirspor,2,1,H,0,0,D,,,,,,,,,,,,,
2003-10-03,Konyaspor,Fenerbahce,2,4,A,1,2,A,,,,,,,,,,,,,
2003-10-04,Galatasaray,A. Sebatspor,4,3,H,1,0,H,,,,,,,,,,,,,
2003-10-04,Genclerbirligi,Adanaspor,6,0,H,0,0,D,,,,,,,,,,,,,
2003-10-04,Istanbulspor,Denizlispor,0,3,A,0,2,A,,,,,,,,,,,,,
2003-10-04,Malatyaspor,Bursaspor,2,1,H,1,1,D,,,,,,,,,,,,,
2003-10-05,Diyarbakirspor,Samsunspor,2,2,D,0,1,A,,,,,,,,,,,,,
2003-10-05,Elazigspor,Besiktas,1,5,A,1,2,A,,,,,,,,,,,,,
2003-10-05,Gaziantepspor,Rizespor,2,0,H,1,0,H,,,,,,,,,,,,,
2003-10-05,Trabzonspor,Ankaragucu,3,0,H,1,0,H,,,,,,,,,,,,,
2003-10-17,Rizespor,Galatasaray,0,1,A,0,1,A,,,,,,,,,,,,,
2003-10-18,Adanaspor,Konyaspor,1,1,D,0,1,A,,,,,,,,,,,,,
2003-10-18,Ankaragucu,Elazigspor,1,0,H,1,0,H,,,,,,,,,,,,,
2003-10-18,Besiktas,Diyarbakirspor,1,0,H,1,0,H,,,,,,,,,,,,,
2003-10-19,A. Sebatspor,Genclerbirligi,0,3,A,0,1,A,,,,,,,,,,,,,
2003-10-19,Bursaspor,Fenerbahce,2,2,D,0,1,A,,,,,,,,,,,,,
2003-10-19,Denizlispor,Trabzonspor,0,1,A,0,0,D,,,,,,,,,,,,,
2003-10-19,Malatyaspor,Istanbulspor,2,1,H,0,0,D,,,,,,,,,,,,,
2003-10-19,Samsunspor,Gaziantepspor,1,2,A,1,0,H,,,,,,,,,,,,,
2003-10-24,Fenerbahce,Adanaspor,3,0,H,1,0,H,,,,,,,,,,,,,
2003-10-25,Diyarbakirspor,Ankaragucu,1,1,D,1,0,H,,,,,,,,,,,,,
2003-10-25,Elazigspor,Denizlispor,2,4,A,0,3,A,,,,,,,,,,,,,
2003-10-25,Galatasaray,Samsunspor,1,0,H,0,0,D,,,,,,,,,,,,,
2003-10-25,Trabzonspor,Malatyaspor,0,0,D,0,0,D,,,,,,,,,,,,,
2003-10-26,Gaziantepspor,Besiktas,0,3,A,0,2,A,,,,,,,,,,,,,
2003-10-26,Genclerbirligi,Rizespor,1,0,H,1,0,H,,,,,,,,,,,,,
2003-10-26,Istanbulspor,Bursaspor,3,0,H,2,0,H,,,,,,,,,,,,,
2003-10-26,Konyaspor,A. Sebatspor,0,0,D,0,0,D,,,,,,,,,,,,,
2003-10-31,Besiktas,Galatasaray,0,0,D,0,0,D,,,,,,,,,,,,,
2003-11-01,Ankaragucu,Gaziantepspor,1,4,A,1,2,A,,,,,,,,,,,,,
2003-11-01,Denizlispor,Diyarbakirspor,1,2,A,1,1,D,,,,,,,,,,,,,
2003-11-01,Istanbulspor,Trabzonspor,0,2,A,0,0,D,,,,,,,,,,,,,
2003-11-01,Samsunspor,Genclerbirligi,2,1,H,0,1,A,,,,,,,,,,,,,
2003-11-02,A. Sebatspor,Fenerbahce,1,1,D,1,1,D,,,,,,,,,,,,,
2003-11-02,Bursaspor,Adanaspor,6,0,H,3,0,H,,,,,,,,,,,,,
2003-11-02,Malatyaspor,Elazigspor,3,0,H,0,0,D,,,,,,,,,,,,,
2003-11-02,Rizespor,Konyaspor,1,1,D,1,1,D,,,,,,,,,,,,,
2003-11-07,Trabzonspor,Bursaspor,2,0,H,0,0,D,,,,,,,,,,,,,
2003-11-08,Adanaspor,A. Sebatspor,1,2,A,0,1,A,,,,,,,,,,,,,
2003-11-08,Konyaspor,Samsunspor,0,0,D,0,0,D,,,,,,,,,,,,,
2003-11-09,Diyarbakirspor,Malatyaspor,2,0,H,2,0,H,,,,,,,,,,,,,
2003-11-09,Elazigspor,Istanbulspor,1,1,D,1,1,D,,,,,,,,,,,,,
2003-11-09,Galatasaray,Ankaragucu,2,1,H,1,1,D,,,,,,,,,,,,,
2003-11-09,Gaziantepspor,Denizlispor,1,2,A,1,0,H,,,,,,,,,,,,,
2003-11-09,Genclerbirligi,Besiktas,1,2,A,0,2,A,,,,,,,,,,,,,
2003-11-22,Ankaragucu,Genclerbirligi,2,3,A,1,2,A,,,,,,,,,,,,,
2003-11-22,Besiktas,Konyaspor,1,1,D,1,1,D,,,,,,,,,,,,,
2003-11-22,Denizlispor,Galatasaray,2,1,H,1,1,D,,,,,,,,,,,,,
2003-11-22,Malatyaspor,Gaziantepspor,0,0,D,0,0,D,,,,,,,,,,,,,
2003-11-23,Bursaspor,A. Sebatspor,1,1,D,1,0,H,,,,,,,,,,,,,
2003-11-23,Istanbulspor,Diyarbakirspor,1,3,A,1,3,A,,,,,,,,,,,,,
2003-11-23,Rizespor,Adanaspor,0,2,A,0,0,D,,,,,,,,,,,,,
2003-11-23,Samsunspor,Fenerbahce,3,0,H,2,0,H,,,,,,,,,,,,,
2003-11-23,Trabzonspor,Elazigspor,2,2,D,1,1,D,,,,,,,,,,,,,
2003-11-28,Galatasaray,Malatyaspor,2,2,D,1,0,H,,,,,,,,,,,,,
2003-11-29,A. Sebatspor,Rizespor,1,0,H,0,0,D,,,,,,,,,,,,,
2003-11-29,Diyarbakirspor,Trabzonspor,2,2,D,0,1,A,,,,,,,,,,,,,
2003-11-29,Elazigspor,Bursaspor,1,0,H,0,0,D,,,,,,,,,,,,,
2003-11-29,Konyaspor,Ankaragucu,1,1,D,1,0,H,,,,,,,,,,,,,
2003-11-30,Adanaspor,Samsunspor,2,3,A,1,1,D,,,,,,,,,,,,,
2003-11-30,Fenerbahce,Besiktas,2,2,D,0,0,D,,,,,,,,,,,,,
2003-11-30,Gaziantepspor,Istanbulspor,2,1,H,0,0,D,,,,,,,,,,,,,
2003-11-30,Genclerbirligi,Denizlispor,1,3,A,1,1,D,,,,,,,,,,,,,
2003-12-05,Besiktas,Adanaspor,2,1,H,0,0,D,,,,,,,,,,,,,
2003-12-06,Diyarbakirspor,Elazigspor,2,0,H,1,0,H,,,,,,,,,,,,,
2003-12-06,Istanbulspor,Galatasaray,3,1,H,1,0,H,,,,,,,,,,,,,
2003-12-06,Samsunspor,A. Sebatspor,1,1,D,0,1,A,,,,,,,,,,,,,
2003-12-06,Trabzonspor,Gaziantepspor,3,0,H,1,0,H,,,,,,,,,,,,,
2003-12-07,Ankaragucu,Fenerbahce,1,4,A,0,1,A,,,,,,,,,,,,,
2003-12-07,Denizlispor,Konyaspor,3,2,H,1,1,D,,,,,,,,,,,,,
2003-12-07,Malatyaspor,Genclerbirligi,1,1,D,0,1,A,,,,,,,,,,,,,
2003-12-07,Rizespor,Bursaspor,1,0,H,0,0,D,,,,,,,,,,,,,
2003-12-13,A. Sebatspor,Besiktas,1,2,A,1,0,H,,,,,,,,,,,,,
2003-12-13,Fenerbahce,Denizlispor,2,0,H,0,0,D,,,,,,,,,,,,,
2003-12-13,Gaziantepspor,Elazigspor,3,1,H,1,1,D,,,,,,,,,,,,,
2003-12-13,Genclerbirligi,Istanbulspor,1,0,H,0,0,D,,,,,,,,,,,,,
2003-12-14,Adanaspor,Ankaragucu,1,3,A,0,1,A,,,,,,,,,,,,,
2003-12-14,Bursaspor,Diyarbakirspor,0,0,D,0,0,D,,,,,,,,,,,,,
2003-12-14,Galatasaray,Trabzonspor,1,2,A,0,2,A,,,,,,,,,,,,,
2003-12-14,Konyaspor,Malatyaspor,3,3,D,2,1,H,,,,,,,,,,,,,
2003-12-14,Rizespor,Samsunspor,1,2,A,0,0,D,,,,,,,,,,,,,
2003-12-20,Besiktas,Rizespor,5,3,H,1,1,D,,,,,,,,,,,,,
2003-12-20,Elazigspor,Galatasaray,2,2,D,1,2,A,,,,,,,,,,,,,
2003-12-20,Trabzonspor,Genclerbirligi,1,3,A,1,1,D,,,,,,,,,,,,,
2003-12-21,Ankaragucu,A. Sebatspor,1,1,D,1,0,H,,,,,,,,,,,,,
2003-12-21,Denizlispor,Adanaspor,1,1,D,1,1,D,,,,,,,,,,,,,
2003-12-21,Diyarbakirspor,Gaziantepspor,2,1,H,0,1,A,,,,,,,,,,,,,
2003-12-21,Istanbulspor,Konyaspor,2,3,A,1,1,D,,,,,,,,,,,,,
2003-12-21,Malatyaspor,Fenerbahce,2,2,D,1,2,A,,,,,,,,,,,,,
2003-12-21,Samsunspor,Bursaspor,0,0,D,0,0,D,,,,,,,,,,,,,
2004-01-18,Fenerbahce,Rizespor,4,1,H,2,0,H,,,,,,,,,,,,,
2004-01-23,Diyarbakirspor,Galatasaray,0,0,D,0,0,D,,,,,,,,,,,,,
2004-01-24,Denizlispor,A. Sebatspor,1,2,A,0,0,D,,,,,,,,,,,,,
2004-01-25,Ankaragucu,Rizespor,4,1,H,2,0,H,,,,,,,,,,,,,
2004-01-25,Besiktas,Samsunspor,1,4,A,1,1,D,,,,,,,,,,,,,
2004-01-25,Elazigspor,Genclerbirligi,1,1,D,0,1,A,,,,,,,,,,,,,
2004-01-25,Gaziantepspor,Bursaspor,3,2,H,1,1,D,,,,,,,,,,,,,
2004-01-25,Istanbulspor,Fenerbahce,0,1,A,0,1,A,,,,,,,,,,,,,
2004-01-25,Malatyaspor,Adanaspor,2,0,H,1,0,H,,,,,,,,,,,,,
2004-01-25,Trabzonspor,Konyaspor,0,3,A,0,1,A,,,,,,,,,,,,,
2004-01-31,Galatasaray,Gaziantepspor,3,0,H,1,0,H,,,,,,,,,,,,,
2004-02-01,A. Sebatspor,Malatyaspor,2,2,D,1,1,D,,,,,,,,,,,,,
2004-02-01,Adanaspor,Istanbulspor,1,1,D,0,1,A,,,,,,,,,,,,,
2004-02-01,Bursaspor,Besiktas,0,1,A,0,0,D,,,,,,,,,,,,,
2004-02-01,Fenerbahce,Trabzonspor,3,1,H,2,1,H,,,,,,,,,,,,,
2004-02-01,Genclerbirligi,Diyarbakirspor,3,4,A,1,1,D,,,,,,,,,,,,,
2004-02-01,Konyaspor,Elazigspor,2,0,H,2,0,H,,,,,,,,,,,,,
2004-02-01,Rizespor,Denizlispor,1,2,A,0,1,A,,,,,,,,,,,,,
2004-02-01,Samsunspor,Ankaragucu,3,2,H,1,1,D,,,,,,,,,,,,,
2004-02-06,Ankaragucu,Besiktas,1,1,D,0,0,D,,,,,,,,,,,,,
2004-02-07,Denizlispor,Samsunspor,1,0,H,1,0,H,,,,,,,,,,,,,
2004-02-07,Diyarbakirspor,Konyaspor,1,1,D,0,0,D,,,,,,,,,,,,,
2004-02-07,Elazigspor,Fenerbahce,0,1,A,0,1,A,,,,,,,,,,,,,
2004-02-07,Gaziantepspor,Genclerbirligi,2,0,H,0,0,D,,,,,,,,,,,,,
2004-02-07,Malatyaspor,Rizespor,0,1,A,0,0,D,,,,,,,,,,,,,
2004-02-08,Galatasaray,Bursaspor,0,0,D,0,0,D,,,,,,,,,,,,,
2004-02-08,Istanbulspor,A. Sebatspor,1,3,A,1,2,A,,,,,,,,,,,,,
2004-02-08,Trabzonspor,Adanaspor,2,1,H,0,1,A,,,,,,,,,,,,,
2004-02-14,Adanaspor,Elazigspor,1,2,A,0,0,D,,,,,,,,,,,,,
2004-02-14,Samsunspor,Malatyaspor,1,0,H,0,0,D,,,,,,,,,,,,,
2004-02-15,A. Sebatspor,Trabzonspor,0,0,D,0,0,D,,,,,,,,,,,,,
2004-02-15,Besiktas,Denizlispor,3,1,H,1,1,D,,,,,,,,,,,,,
2004-02-15,Bursaspor,Ankaragucu,1,0,H,1,0,H,,,,,,,,,,,,,
2004-02-15,Fenerbahce,Diyarbakirspor,2,2,D,0,1,A,,,,,,,,,,,,,
2004-02-15,Genclerbirligi,Galatasaray,2,2,D,2,1,H,,,,,,,,,,,,,
2004-02-15,Konyaspor,Gaziantepspor,0,3,A,0,1,A,,,,,,,,,,,,,
2004-02-16,Rizespor,Istanbulspor,1,0,H,1,0,H,,,,,,,,,,,,,
2004-02-21,Galatasaray,Konyaspor,2,1,H,1,0,H,,,,,,,,,,,,,
2004-02-21,Genclerbirligi,Bursaspor,2,0,H,1,0,H,,,,,,,,,,,,,
2004-02-21,Malatyaspor,Besiktas,0,0,D,0,0,D,,,,,,,,,,,,,
2004-02-22,Denizlispor,Ankaragucu,0,1,A,0,1,A,,,,,,,,,,,,,
2004-02-22,Diyarbakirspor,Adanaspor,3,1,H,1,1,D,,,,,,,,,,,,,
2004-02-22,Gaziantepspor,Fenerbahce,1,5,A,0,2,A,,,,,,,,,,,,,
2004-02-22,Istanbulspor,Samsunspor,0,0,D,0,0,D,,,,,,,,,,,,,
2004-02-22,Trabzonspor,Rizespor,1,0,H,1,0,H,,,,,,,,,,,,,
2004-02-23,Elazigspor,A. Sebatspor,3,1,H,1,0,H,,,,,,,,,,,,,
