joueur,poste,matchs,minutes,buts,passes_decisives,tirs,passes_cles,xg,xa,buts_hors_penalty,carton_jaune,carton_rouge
Ferrán Torres,F M S,33,2025,16,2,69,23,16.18,3.16,16,1,0
Lamine Yamal,F M S,28,2291,16,11,117,73,14.66,12.57,13,1,0
Robert Lewandowski,F S,31,1630,14,2,63,13,16.07,2.28,13,2,0
Raphinha,F M S,22,1424,13,3,65,40,11.13,5.91,10,5,0
Marcus Rashford,F M S,32,1739,8,7,76,46,8.7,4.96,8,3,0
Dani Olmo,F M S,33,2109,7,8,70,50,8.75,6.66,7,1,0
Fermín López,F M S,30,1780,6,9,68,34,7.52,7.65,6,3,0
Ronald Araújo,D S,24,1049,3,0,12,3,2.3,0.6,3,2,0
João Cancelo,D S,16,938,2,2,13,15,0.97,3.25,2,1,0
Pedri,M S,29,2117,2,9,21,63,2.39,5.95,2,0,1
Marc Bernal,M S,22,798,2,1,7,5,1.02,0.67,2,4,0
Jules Koundé,D S,30,2247,1,3,14,23,2.2,4.64,1,6,0
Frenkie de Jong,M S,25,1597,1,5,7,35,1.08,5.1,1,3,1
Eric Garcia,D M S,34,2761,1,1,25,30,3.34,1.97,1,5,0
Pau Cubarsí,D,31,2733,1,0,10,5,0.55,0.44,1,3,0
Roony Bardghji,F M S,21,612,1,1,22,14,1.75,1.91,1,0,0
Andreas Christensen,D S,13,369,0,0,4,1,0.26,0.02,0,2,0
Wojciech Szczesny,GK,8,720,0,0,0,0,0.0,0.0,0,0,0
Joan García,GK,30,2700,0,0,0,0,0.0,0.0,0,1,0
Gavi,M S,11,578,0,1,0,8,0.0,0.69,0,3,0
Álex Balde,D S,28,1910,0,2,10,23,0.75,2.9,0,1,0
Marc Casadó,M S,24,957,0,1,11,14,1.03,0.58,0,1,0
Gerard Martín,D S,32,2145,0,0,7,13,0.3,0.76,0,6,0
Toni Fernández,F,1,48,0,0,0,1,0.0,0.09,0,0,0
Álvaro Cortés,D,1,90,0,0,0,0,0.0,0.0,0,0,0
Jofre Torrents,S,3,33,0,0,0,0,0.0,0.0,0,0,0
Dro Fernández,M S,4,83,0,0,0,2,0.0,0.05,0,0,0
Xavi Espart,D S,4,157,0,0,1,0,0.03,0.0,0,0,0
Tomás Marqués,S,2,5,0,0,0,0,0.0,0.0,0,0,0
