saison,date,lieu,adversaire,buts_barca,buts_adversaire,resultat,tirs_barca,tirs_adversaire,tirs_cadres_barca,corners_barca,jaunes_barca,rouges_barca,arbitre
9394,1993-09-05,domicile,Sociedad,3,0,V,,,,,,,
9394,1993-09-12,exterieur,Albacete,0,0,N,,,,,,,
9394,1993-09-19,exterieur,Ath Bilbao,0,0,N,,,,,,,
9394,1993-09-26,domicile,Zaragoza,4,1,V,,,,,,,
9394,1993-10-03,exterieur,Osasuna,3,2,V,,,,,,,
9394,1993-10-06,domicile,Valladolid,3,0,V,,,,,,,
9394,1993-10-17,exterieur,La Coruna,0,1,D,,,,,,,
9394,1993-10-24,domicile,Oviedo,1,0,V,,,,,,,
9394,1993-10-31,exterieur,Ath Madrid,3,4,D,,,,,,,
9394,1993-11-07,domicile,Santander,2,1,V,,,,,,,
9394,1993-11-10,exterieur,Tenerife,3,2,V,,,,,,,
9394,1993-11-21,domicile,Lerida,0,1,D,,,,,,,
9394,1993-11-28,exterieur,Vallecano,4,2,V,,,,,,,
9394,1993-12-05,domicile,Logrones,2,2,N,,,,,,,
9394,1993-12-12,exterieur,Valencia,4,0,V,,,,,,,
9394,1993-12-19,domicile,Celta,1,0,V,,,,,,,
9394,1994-01-02,exterieur,Sp Gijon,0,2,D,,,,,,,
9394,1994-01-09,domicile,Real Madrid,5,0,V,,,,,,,
9394,1994-01-16,exterieur,Sevilla,0,0,N,,,,,,,
9394,1994-01-23,exterieur,Sociedad,1,2,D,,,,,,,
9394,1994-01-30,domicile,Albacete,2,1,V,,,,,,,
9394,1994-02-06,domicile,Ath Bilbao,2,3,D,,,,,,,
9394,1994-02-13,exterieur,Zaragoza,3,6,D,,,,,,,
9394,1994-02-20,domicile,Osasuna,8,1,V,,,,,,,
9394,1994-02-23,exterieur,Valladolid,3,1,V,,,,,,,
9394,1994-02-27,domicile,La Coruna,3,0,V,,,,,,,
9394,1994-03-06,exterieur,Oviedo,3,1,V,,,,,,,
9394,1994-03-13,domicile,Ath Madrid,5,3,V,,,,,,,
9394,1994-03-20,exterieur,Santander,1,1,N,,,,,,,
9394,1994-03-27,domicile,Tenerife,2,1,V,,,,,,,
9394,1994-04-03,exterieur,Lerida,2,1,V,,,,,,,
9394,1994-04-06,domicile,Vallecano,1,0,V,,,,,,,
9394,1994-04-10,exterieur,Logrones,0,0,N,,,,,,,
9394,1994-04-17,domicile,Valencia,3,1,V,,,,,,,
9394,1994-04-24,exterieur,Celta,4,0,V,,,,,,,
9394,1994-05-01,domicile,Sp Gijon,4,0,V,,,,,,,
9394,1994-05-08,exterieur,Real Madrid,1,0,V,,,,,,,
9394,1994-05-15,domicile,Sevilla,5,2,V,,,,,,,
9495,1994-09-04,exterieur,Sp Gijon,1,2,D,,,,,,,
9495,1994-09-10,domicile,Santander,2,1,V,,,,,,,
9495,1994-09-18,exterieur,Espanol,0,0,N,,,,,,,
9495,1994-09-24,domicile,Compostela,4,0,V,,,,,,,
9495,1994-10-02,exterieur,Zaragoza,1,2,D,,,,,,,
