championnat,saison,source,nb_matchs,complet,commentaire
Premier League,2017-2018,wyscout,380,1,"Saison 2017-2018 complete. Pas de xG, pressions ni recoveries dans ce jeu."
La Liga,2017-2018,wyscout,380,1,"Saison 2017-2018 complete. Pas de xG, pressions ni recoveries dans ce jeu."
Bundesliga,2017-2018,wyscout,306,1,"Saison 2017-2018 complete. Pas de xG, pressions ni recoveries dans ce jeu."
Serie A,2017-2018,wyscout,380,1,"Saison 2017-2018 complete. Pas de xG, pressions ni recoveries dans ce jeu."
Ligue 1,2017-2018,wyscout,380,1,"Saison 2017-2018 complete. Pas de xG, pressions ni recoveries dans ce jeu."
Bundesliga,2023-2024,statsbomb,34,0,"Saison partielle (souvent un seul club), pas les 38/34 journees."
Bundesliga,2015-2016,statsbomb,34,0,"Saison partielle (souvent un seul club), pas les 38/34 journees."
Ligue des champions,2018-2019,statsbomb,1,0,"Finale seulement (1 match), pas le tournoi entier."
Ligue des champions,2017-2018,statsbomb,1,0,"Finale seulement (1 match), pas le tournoi entier."
Ligue des champions,2016-2017,statsbomb,1,0,"Finale seulement (1 match), pas le tournoi entier."
Ligue des champions,2015-2016,statsbomb,1,0,"Finale seulement (1 match), pas le tournoi entier."
Ligue des champions,2014-2015,statsbomb,1,0,"Finale seulement (1 match), pas le tournoi entier."
Ligue des champions,2013-2014,statsbomb,1,0,"Finale seulement (1 match), pas le tournoi entier."
Ligue des champions,2012-2013,statsbomb,1,0,"Finale seulement (1 match), pas le tournoi entier."
Ligue des champions,2011-2012,statsbomb,1,0,"Finale seulement (1 match), pas le tournoi entier."
Ligue des champions,2010-2011,statsbomb,1,0,"Finale seulement (1 match), pas le tournoi entier."
Ligue des champions,2009-2010,statsbomb,1,0,"Finale seulement (1 match), pas le tournoi entier."
Ligue des champions,2008-2009,statsbomb,1,0,"Finale seulement (1 match), pas le tournoi entier."
Ligue des champions,2006-2007,statsbomb,1,0,"Finale seulement (1 match), pas le tournoi entier."
Ligue des champions,2004-2005,statsbomb,1,0,"Finale seulement (1 match), pas le tournoi entier."
Ligue des champions,2003-2004,statsbomb,1,0,"Finale seulement (1 match), pas le tournoi entier."
Ligue des champions,1999-2000,statsbomb,1,0,"Finale seulement (1 match), pas le tournoi entier."
Ligue des champions,1972-1973,statsbomb,1,0,"Finale seulement (1 match), pas le tournoi entier."
Ligue des champions,1971-1972,statsbomb,1,0,"Finale seulement (1 match), pas le tournoi entier."
Ligue des champions,1970-1971,statsbomb,1,0,"Finale seulement (1 match), pas le tournoi entier."
La Liga,2020-2021,statsbomb,35,0,"Saison partielle (souvent un seul club), pas les 38/34 journees."
La Liga,2019-2020,statsbomb,33,0,"Saison partielle (souvent un seul club), pas les 38/34 journees."
La Liga,2018-2019,statsbomb,34,0,"Saison partielle (souvent un seul club), pas les 38/34 journees."
La Liga,2017-2018,statsbomb,36,0,"Saison partielle (souvent un seul club), pas les 38/34 journees."
La Liga,2016-2017,statsbomb,34,0,"Saison partielle (souvent un seul club), pas les 38/34 journees."
La Liga,2015-2016,statsbomb,380,1,Saison complete ou quasi complete dans l'open data.
La Liga,2014-2015,statsbomb,38,0,"Saison partielle (souvent un seul club), pas les 38/34 journees."
La Liga,2013-2014,statsbomb,31,0,"Saison partielle (souvent un seul club), pas les 38/34 journees."
La Liga,2012-2013,statsbomb,32,0,"Saison partielle (souvent un seul club), pas les 38/34 journees."
La Liga,2011-2012,statsbomb,37,0,"Saison partielle (souvent un seul club), pas les 38/34 journees."
La Liga,2010-2011,statsbomb,33,0,"Saison partielle (souvent un seul club), pas les 38/34 journees."
La Liga,2009-2010,statsbomb,35,0,"Saison partielle (souvent un seul club), pas les 38/34 journees."
La Liga,2008-2009,statsbomb,31,0,"Saison partielle (souvent un seul club), pas les 38/34 journees."
La Liga,2007-2008,statsbomb,27,0,"Saison partielle (souvent un seul club), pas les 38/34 journees."
La Liga,2006-2007,statsbomb,26,0,"Saison partielle (souvent un seul club), pas les 38/34 journees."
La Liga,2005-2006,statsbomb,17,0,"Saison partielle (souvent un seul club), pas les 38/34 journees."
La Liga,2004-2005,statsbomb,7,0,"Saison partielle (souvent un seul club), pas les 38/34 journees."
Ligue 1,2022-2023,statsbomb,32,0,"Saison partielle (souvent un seul club), pas les 38/34 journees."
Ligue 1,2021-2022,statsbomb,26,0,"Saison partielle (souvent un seul club), pas les 38/34 journees."
Ligue 1,2015-2016,statsbomb,377,1,Saison complete ou quasi complete dans l'open data.
Premier League,2015-2016,statsbomb,380,1,Saison complete ou quasi complete dans l'open data.
Premier League,2003-2004,statsbomb,38,0,"Saison partielle (souvent un seul club), pas les 38/34 journees."
Serie A,2015-2016,statsbomb,380,1,Saison complete ou quasi complete dans l'open data.
