championnat,saison,equipe
Bundesliga,2020-2021,Arminia Bielefeld
Bundesliga,2020-2021,"Arminia Bielefeld,Hertha Berlin"
Bundesliga,2020-2021,Augsburg
Bundesliga,2020-2021,"Augsburg,Borussia M.Gladbach"
Bundesliga,2020-2021,Bayer Leverkusen
Bundesliga,2020-2021,"Bayer Leverkusen,Union Berlin"
Bundesliga,2020-2021,Bayern Munich
Bundesliga,2020-2021,"Bayern Munich,Hoffenheim"
Bundesliga,2020-2021,Borussia Dortmund
Bundesliga,2020-2021,Borussia M.Gladbach
Bundesliga,2020-2021,Eintracht Frankfurt
Bundesliga,2020-2021,"Eintracht Frankfurt,Mainz 05"
Bundesliga,2020-2021,FC Cologne
Bundesliga,2020-2021,Freiburg
Bundesliga,2020-2021,Hertha Berlin
Bundesliga,2020-2021,Hoffenheim
Bundesliga,2020-2021,"Hoffenheim,Schalke 04"
Bundesliga,2020-2021,Mainz 05
Bundesliga,2020-2021,"Mainz 05,Wolfsburg"
Bundesliga,2020-2021,RasenBallsport Leipzig
Bundesliga,2020-2021,Schalke 04
Bundesliga,2020-2021,"Schalke 04,Wolfsburg"
Bundesliga,2020-2021,Union Berlin
Bundesliga,2020-2021,VfB Stuttgart
Bundesliga,2020-2021,Werder Bremen
Bundesliga,2020-2021,Wolfsburg
Bundesliga,2021-2022,Arminia Bielefeld
Bundesliga,2021-2022,Augsburg
Bundesliga,2021-2022,Bayer Leverkusen
Bundesliga,2021-2022,Bayern Munich
Bundesliga,2021-2022,"Bayern Munich,Hoffenheim"
Bundesliga,2021-2022,"Bayern Munich,RasenBallsport Leipzig"
Bundesliga,2021-2022,Bochum
Bundesliga,2021-2022,Borussia Dortmund
Bundesliga,2021-2022,"Borussia Dortmund,Eintracht Frankfurt"
Bundesliga,2021-2022,Borussia M.Gladbach
Bundesliga,2021-2022,"Borussia M.Gladbach,Union Berlin"
Bundesliga,2021-2022,Eintracht Frankfurt
Bundesliga,2021-2022,FC Cologne
Bundesliga,2021-2022,"FC Cologne,Mainz 05"
Bundesliga,2021-2022,Freiburg
Bundesliga,2021-2022,"Freiburg,Union Berlin"
Bundesliga,2021-2022,Greuther Fuerth
Bundesliga,2021-2022,"Greuther Fuerth,Union Berlin"
Bundesliga,2021-2022,Hertha Berlin
Bundesliga,2021-2022,"Hertha Berlin,VfB Stuttgart"
Bundesliga,2021-2022,"Hertha Berlin,Wolfsburg"
Bundesliga,2021-2022,Hoffenheim
Bundesliga,2021-2022,Mainz 05
Bundesliga,2021-2022,"Mainz 05,Union Berlin"
Bundesliga,2021-2022,RasenBallsport Leipzig
Bundesliga,2021-2022,Union Berlin
Bundesliga,2021-2022,"Union Berlin,Wolfsburg"
Bundesliga,2021-2022,VfB Stuttgart
Bundesliga,2021-2022,"VfB Stuttgart,Wolfsburg"
Bundesliga,2021-2022,Wolfsburg
Bundesliga,2022-2023,Augsburg
Bundesliga,2022-2023,"Augsburg,Hertha Berlin"
Bundesliga,2022-2023,Bayer Leverkusen
Bundesliga,2022-2023,Bayern Munich
Bundesliga,2022-2023,"Bayern Munich,Borussia M.Gladbach"
Bundesliga,2022-2023,Bochum
Bundesliga,2022-2023,"Bochum,Freiburg"
Bundesliga,2022-2023,Borussia Dortmund
Bundesliga,2022-2023,"Borussia Dortmund,Union Berlin"
Bundesliga,2022-2023,Borussia M.Gladbach
Bundesliga,2022-2023,Eintracht Frankfurt
Bundesliga,2022-2023,FC Cologne
Bundesliga,2022-2023,"FC Cologne,Hertha Berlin"
Bundesliga,2022-2023,Freiburg
Bundesliga,2022-2023,Hertha Berlin
Bundesliga,2022-2023,Hoffenheim
Bundesliga,2022-2023,Mainz 05
Bundesliga,2022-2023,RasenBallsport Leipzig
Bundesliga,2022-2023,Schalke 04
Bundesliga,2022-2023,"Schalke 04,Union Berlin"
Bundesliga,2022-2023,Union Berlin
Bundesliga,2022-2023,"Union Berlin,VfB Stuttgart"
Bundesliga,2022-2023,"Union Berlin,Wolfsburg"
Bundesliga,2022-2023,VfB Stuttgart
Bundesliga,2022-2023,Werder Bremen
Bundesliga,2022-2023,"Werder Bremen,Wolfsburg"
Bundesliga,2022-2023,Wolfsburg
Bundesliga,2023-2024,Augsburg
Bundesliga,2023-2024,"Augsburg,Eintracht Frankfurt"
Bundesliga,2023-2024,"Augsburg,Hoffenheim"
Bundesliga,2023-2024,Bayer Leverkusen
Bundesliga,2023-2024,"Bayer Leverkusen,Mainz 05"
Bundesliga,2023-2024,Bayern Munich
Bundesliga,2023-2024,Bochum
Bundesliga,2023-2024,Borussia Dortmund
Bundesliga,2023-2024,"Borussia Dortmund,Werder Bremen"
Bundesliga,2023-2024,Borussia M.Gladbach
Bundesliga,2023-2024,"Borussia M.Gladbach,Union Berlin"
Bundesliga,2023-2024,Darmstadt
Bundesliga,2023-2024,"Darmstadt,Hoffenheim"
Bundesliga,2023-2024,Eintracht Frankfurt
Bundesliga,2023-2024,"Eintracht Frankfurt,Mainz 05"
Bundesliga,2023-2024,"Eintracht Frankfurt,RasenBallsport Leipzig"
Bundesliga,2023-2024,FC Cologne
Bundesliga,2023-2024,FC Heidenheim
Bundesliga,2023-2024,Freiburg
Bundesliga,2023-2024,"Freiburg,Hoffenheim"
Bundesliga,2023-2024,Hoffenheim
Bundesliga,2023-2024,"Hoffenheim,Mainz 05"
Bundesliga,2023-2024,"Hoffenheim,Union Berlin"
Bundesliga,2023-2024,"Hoffenheim,VfB Stuttgart"
Bundesliga,2023-2024,Mainz 05
Bundesliga,2023-2024,RasenBallsport Leipzig
Bundesliga,2023-2024,Union Berlin
Bundesliga,2023-2024,"Union Berlin,Wolfsburg"
Bundesliga,2023-2024,VfB Stuttgart
Bundesliga,2023-2024,Werder Bremen
Bundesliga,2023-2024,Wolfsburg
Bundesliga,2024-2025,Augsburg
Bundesliga,2024-2025,"Augsburg,FC Heidenheim"
Bundesliga,2024-2025,"Augsburg,Hoffenheim"
Bundesliga,2024-2025,"Augsburg,Wolfsburg"
Bundesliga,2024-2025,Bayer Leverkusen
Bundesliga,2024-2025,Bayern Munich
Bundesliga,2024-2025,"Bayern Munich,Mainz 05"
Bundesliga,2024-2025,Bochum
Bundesliga,2024-2025,Borussia Dortmund
Bundesliga,2024-2025,"Borussia Dortmund,Wolfsburg"
