joueur,date_transfert,saison_transfert,club_depart,club_arrivee,frais_eur,valeur_marche_eur,id_joueur_dump,source
Ümit Akdag,2025-06-30,24/25,Toulouse,Alanyaspor,0,600000,958647,dump_transfermarkt_datasets_cc0
Ümit Akdag,2024-08-23,24/25,Alanyaspor,Toulouse,0,800000,958647,dump_transfermarkt_datasets_cc0
Ümit Akdag,2024-06-30,23/24,Göztepe,Alanyaspor,0,800000,958647,dump_transfermarkt_datasets_cc0
Ümit Akdag,2023-07-28,23/24,Alanyaspor,Göztepe,0,50000,958647,dump_transfermarkt_datasets_cc0
Ümit Akdag,2022-07-01,22/23,Alanyaspor U19,Alanyaspor,,,958647,dump_transfermarkt_datasets_cc0
Ümit Akdag,2021-11-04,21/22,Alanyaspor Yth,Alanyaspor U19,,,958647,dump_transfermarkt_datasets_cc0
Ümit Akdag,2017-10-01,17/18,Chelsea Youth,Alanyaspor Yth,0,,958647,dump_transfermarkt_datasets_cc0
Ümit Akdag,2015-09-01,15/16,FCSB Yth.,Chelsea Youth,0,,958647,dump_transfermarkt_datasets_cc0
Ørjan Nyland,2026-07-01,26/27,Sevilla FC,Without Club,,800000,73517,dump_transfermarkt_datasets_cc0
Ørjan Nyland,2023-08-20,23/24,Leipzig,Sevilla FC,0,600000,73517,dump_transfermarkt_datasets_cc0
Ørjan Nyland,2022-10-09,22/23,Without Club,Leipzig,,600000,73517,dump_transfermarkt_datasets_cc0
Ørjan Nyland,2022-07-01,22/23,Reading,Without Club,,700000,73517,dump_transfermarkt_datasets_cc0
Ørjan Nyland,2022-03-10,21/22,Without Club,Reading,,700000,73517,dump_transfermarkt_datasets_cc0
Ørjan Nyland,2022-01-31,21/22,Bournemouth,Without Club,,700000,73517,dump_transfermarkt_datasets_cc0
Ørjan Nyland,2021-08-17,21/22,Norwich,Bournemouth,0,1000000,73517,dump_transfermarkt_datasets_cc0
Ørjan Nyland,2021-02-01,20/21,Without Club,Norwich,,1200000,73517,dump_transfermarkt_datasets_cc0
Ørjan Nyland,2020-10-05,20/21,Aston Villa,Without Club,,1200000,73517,dump_transfermarkt_datasets_cc0
Ørjan Nyland,2018-08-07,18/19,FC Ingolstadt,Aston Villa,3000000,800000,73517,dump_transfermarkt_datasets_cc0
Ørjan Nyland,2015-07-01,15/16,Molde FK,FC Ingolstadt,1000000,1750000,73517,dump_transfermarkt_datasets_cc0
Ørjan Nyland,2013-01-01,12/13,Hødd,Molde FK,0,200000,73517,dump_transfermarkt_datasets_cc0
Ørjan Nyland,2009-01-01,08/09,IL Hødd Yth.,Hødd,,,73517,dump_transfermarkt_datasets_cc0
Ömer Toprak,2024-07-01,24/25,Antalyaspor,Without Club,,300000,43512,dump_transfermarkt_datasets_cc0
Ömer Toprak,2022-07-01,22/23,Werder Bremen,Antalyaspor,0,1500000,43512,dump_transfermarkt_datasets_cc0
Ömer Toprak,2020-07-15,20/21,Bor. Dortmund,Werder Bremen,4000000,3500000,43512,dump_transfermarkt_datasets_cc0
Ömer Toprak,2020-07-07,19/20,Werder Bremen,Bor. Dortmund,0,3500000,43512,dump_transfermarkt_datasets_cc0
Ömer Toprak,2019-08-11,19/20,Bor. Dortmund,Werder Bremen,0,5000000,43512,dump_transfermarkt_datasets_cc0
Ömer Toprak,2017-07-01,17/18,B. Leverkusen,Bor. Dortmund,12000000,16000000,43512,dump_transfermarkt_datasets_cc0
Ömer Toprak,2011-07-01,11/12,SC Freiburg,B. Leverkusen,3000000,4000000,43512,dump_transfermarkt_datasets_cc0
Ömer Toprak,2008-07-01,08/09,SC Freiburg U19,SC Freiburg,,100000,43512,dump_transfermarkt_datasets_cc0
Ömer Toprak,2006-07-01,06/07,SC Freiburg U17,SC Freiburg U19,,,43512,dump_transfermarkt_datasets_cc0
Ömer Toprak,2005-07-01,05/06,Ravensburg U17,SC Freiburg U17,0,,43512,dump_transfermarkt_datasets_cc0
Ömer Toprak,2004-07-01,04/05,Ravensburg Yth.,Ravensburg U17,,,43512,dump_transfermarkt_datasets_cc0
Ömer Toprak,2001-07-01,01/02,Ravensburg Yth.,Ravensburg Yth.,0,,43512,dump_transfermarkt_datasets_cc0
Óscar Valentín,2019-07-01,19/20,R. Majadahonda,Rayo Vallecano,0,800000,517753,dump_transfermarkt_datasets_cc0
Óscar Valentín,2017-07-01,17/18,Alcobendas,R. Majadahonda,0,,517753,dump_transfermarkt_datasets_cc0
Óscar Valentín,2016-07-01,16/17,Rayo B,Alcobendas,,,517753,dump_transfermarkt_datasets_cc0
Óscar Valentín,2015-06-30,14/15,Alcobendas,Rayo B,0,,517753,dump_transfermarkt_datasets_cc0
Óscar Valentín,2014-08-01,14/15,Rayo B,Alcobendas,0,,517753,dump_transfermarkt_datasets_cc0
Óscar Valentín,2014-07-01,14/15,Alcobendas,Rayo B,,,517753,dump_transfermarkt_datasets_cc0
Óscar Valentín,2013-07-01,13/14,Majad. U19,Alcobendas,,,517753,dump_transfermarkt_datasets_cc0
Óscar Trejo,2026-07-01,26/27,Rayo Vallecano,Without Club,,300000,30321,dump_transfermarkt_datasets_cc0
Óscar Trejo,2017-07-01,17/18,Toulouse,Rayo Vallecano,0,2500000,30321,dump_transfermarkt_datasets_cc0
Óscar Trejo,2013-07-19,13/14,Sporting Gijón,Toulouse,2100000,2000000,30321,dump_transfermarkt_datasets_cc0
Óscar Trejo,2011-07-01,11/12,RCD Mallorca,Sporting Gijón,1000000,1500000,30321,dump_transfermarkt_datasets_cc0
Óscar Trejo,2011-06-30,10/11,Rayo Vallecano,RCD Mallorca,0,1500000,30321,dump_transfermarkt_datasets_cc0
Óscar Trejo,2010-08-16,10/11,RCD Mallorca,Rayo Vallecano,0,1400000,30321,dump_transfermarkt_datasets_cc0
Óscar Trejo,2010-06-30,09/10,Elche CF,RCD Mallorca,0,1400000,30321,dump_transfermarkt_datasets_cc0
Óscar Trejo,2009-08-25,09/10,RCD Mallorca,Elche CF,0,1800000,30321,dump_transfermarkt_datasets_cc0
Óscar Trejo,2007-01-31,06/07,Boca Juniors,RCD Mallorca,2500000,,30321,dump_transfermarkt_datasets_cc0
Óscar Trejo,2005-07-01,05/06,CABJ U20,Boca Juniors,,,30321,dump_transfermarkt_datasets_cc0
Óscar Rodríguez,2025-09-02,25/26,CD Leganés,Al-Diraiyah FC,0,2000000,284884,dump_transfermarkt_datasets_cc0
